"Player","Rating","Games","1st","2nd","Lag"
15379825,1455.71817496349,26,1,1,22168
9009104,1455.71018346839,81,7,7,20
11637288,1455.69371572724,8,0,0,19684
13222659,1455.68252028161,16,0,0,2583
13113917,1455.65159784309,2,0,0,27277
33125008,1455.64997049963,16,3,5,1356
15731161,1455.64521668398,13,0,0,3076
6613158,1455.63197507331,5,0,0,19125
8995048,1455.61787028025,3,0,0,9924
21284368,1455.58059772932,4,0,0,14686
9504197,1455.46601229086,16,0,0,32022
14259569,1455.45099515282,2,0,0,660
12446486,1455.44459197617,38,4,3,56
20879846,1455.35843106124,8,0,0,1220
6194820,1455.35037336188,6,0,0,23960
15813202,1455.32527367285,4,0,0,22233
15141609,1455.31010338147,9,0,0,11982
11359320,1455.30286348508,5,0,0,13600
16858677,1455.27701745929,11,4,4,29802
13704509,1455.20493703061,11,0,0,3134
13151959,1455.17872527169,2,0,0,27253
23989515,1455.16331952498,2,0,0,17746
11601269,1455.1559225649,6,0,0,22939
13386621,1455.15392464778,28,1,0,22386
2013991,1455.08934173335,10,0,0,30776
14903753,1455.03484741414,5,0,1,17301
12321905,1455,2,0,0,9301
28182425,1454.98358993484,6,0,0,19684
14628380,1454.97861603678,13,0,0,2408
8082362,1454.95628492931,10,0,0,2933
11758404,1454.940964741,6,0,1,234
8702650,1454.93566429981,4,0,0,19750
16849347,1454.90844784688,2,0,0,15010
21435652,1454.86730825205,6,0,0,4950
4352977,1454.81936501415,15,0,1,12660
14701776,1454.80530184145,4,0,0,24861
13033301,1454.7157106818,56,4,9,2288
13783044,1454.66356548405,30,1,5,11777
5402322,1454.65905063422,7,0,0,2486
5200194,1454.62334761209,4,0,0,17755
8629657,1454.5853997363,3,0,0,22831
27627702,1454.51503824568,3,0,0,22831
8238365,1454.49234274198,6,1,3,10207
19451126,1454.47642298848,6,0,0,22687
14239645,1454.44186878294,4,0,0,14313
17688489,1454.43249397208,16,4,7,24363
14644448,1454.35480653644,9,0,0,7863
5054351,1454.34716308175,74,1,3,1220
18491873,1454.28726186458,31,2,1,5340
2336656,1454.27489257832,17,1,8,21492
12020720,1454.22377457937,9,0,0,9972
17831368,1454.20160151035,24,5,5,15692
17221216,1454.16772592812,7,2,3,16421
8995080,1454.1243335066,7,2,1,13621
14782472,1454.05117287767,11,0,0,14968
14066101,1453.97424646168,6,0,0,7625
17136579,1453.93060491249,3,0,0,15447
11269606,1453.7989872208,9,0,0,21708
19570580,1453.78689196742,21,0,1,1546
10804195,1453.75356149459,11,0,0,22711
7052349,1453.74516932958,4,0,0,113
15874026,1453.72248742192,3,0,0,20044
6440158,1453.66609917649,5,1,1,21785
15807576,1453.61895602915,10,0,0,2408
10574233,1453.59697848552,4,0,0,1224
15154497,1453.5783732977,6,0,0,23996
13888511,1453.52467901937,3,0,0,2469
13011026,1453.52259050008,4,0,0,21224
10584713,1453.51023226761,10,0,0,115
17207714,1453.49932699194,6,0,0,28916
16544318,1453.48255305195,122,27,19,4271
9930573,1453.4751433796,16,0,0,24731
22071949,1453.42305021879,3,0,0,25453
6671320,1453.39345161653,2,0,0,29420
12060369,1453.18792380208,17,1,3,26212
9281902,1453.16187013498,2,0,0,667
7031074,1453.14375866659,7,0,0,22629
8852426,1453.1355132229,3,0,0,187
11098789,1453.0913048331,16,2,1,25713
24213874,1453.0889538454,27,0,0,2478
7754121,1453.08258699591,88,16,19,6850
12354364,1452.99695765587,42,0,4,14523
19395299,1452.95162396417,30,1,0,2496
12474947,1452.93541841112,5,0,0,23936
11521437,1452.92209388516,8,0,0,26227
10514394,1452.8638956969,12,0,5,26993
13467691,1452.77535748866,59,4,5,248
12046321,1452.72544256525,145,9,14,562
4722369,1452.71927520501,31,5,0,4709
13722775,1452.68015173557,5,0,0,24660
14713255,1452.66261972405,6,0,0,1939
9997093,1452.65103553329,6,1,2,22325
13509427,1452.64155810136,24,7,1,2330
16554922,1452.62137875168,12,1,0,11719
7309946,1452.60087119154,9,0,1,25334
23126274,1452.53928985127,8,0,0,13486
3546247,1452.53510614989,7,0,1,2515
12154376,1452.53092214429,15,0,0,22699
13415030,1452.50240230571,2,0,0,27405
14648704,1452.50173499445,12,3,2,22107
12320398,1452.49712609212,4,0,0,31046
21122087,1452.43246699872,5,0,0,27630
23832935,1452.43077732254,2,0,1,21801
12106552,1452.42160531254,27,3,4,11777
15451297,1452.41464431535,29,0,1,19367
10894720,1452.37959931617,5,0,0,29033
17162929,1452.33159623456,31,0,3,3765
8002409,1452.30767971965,13,0,0,1658
14569644,1452.25168594738,17,0,0,12697
9735548,1452.24728022583,71,4,9,407
10976903,1452.23342253872,53,3,5,4076
22518117,1452.22849922397,3,0,0,2767
9480404,1452.19632633589,4,0,0,26866
11406613,1452.19460539599,6,0,0,14693
15400543,1452.13008023976,6,1,0,12853
23426788,1452.09657935237,10,0,0,27338
12967997,1452.01863082485,9,0,0,15203
19520647,1451.95544399441,3,0,0,28204
13673793,1451.90520168782,3,0,0,1253
18540501,1451.85651709116,6,0,0,2373
18946514,1451.85566731964,2,0,0,17260
16454574,1451.8411146083,9,1,0,3984
12109419,1451.82412376739,8,2,0,17027
10553321,1451.82014566541,27,0,1,7887
6142837,1451.78881093824,9,0,0,29009
12465306,1451.78492364295,4,0,0,29872
23610127,1451.75772531416,2,0,0,12447
6700474,1451.75271904359,21,5,10,6455
7639453,1451.7503820179,30,1,3,1663
13339229,1451.74263222008,7,0,0,30898
11273927,1451.67432001065,2,0,0,5886
22474333,1451.62934767438,13,0,0,20494
19972720,1451.61050180291,6,0,0,4231
27321919,1451.58949735202,3,0,0,24614
18714501,1451.51809158366,2,0,0,27268
19643135,1451.43709408759,2,0,0,660
20034541,1451.42596694769,7,0,0,1455
19198695,1451.41945900319,5,0,1,3505
13364099,1451.40709700637,14,0,3,15719
14510212,1451.40703506609,15,0,0,22168
13908439,1451.3973401631,14,0,1,15376
12522447,1451.38299534359,74,3,5,4267
12111819,1451.27173001106,9,0,0,14922
21408888,1451.24240673006,5,1,4,3236
16353370,1451.17085619637,23,1,0,19914
4135257,1451.1483534233,10,0,0,56
