"Player","Rating","Games","1st","2nd","3rd","4th","Lag"
19563871,1439.83899990099,10,0,0,0,0,7718
19668131,1439.8348823588,3,0,0,0,0,33614
15476381,1439.82085802841,12,0,0,0,0,86
20769376,1439.7834388271,7,1,0,0,0,45761
9766627,1439.7772753673,33,3,5,0,0,36480
18877968,1439.77109069211,4,0,0,0,0,35771
23384604,1439.75902493782,3,0,0,0,0,5935
14127982,1439.70295218336,22,0,6,0,0,26353
13637948,1439.63586707738,7,1,1,0,0,26275
27031318,1439.60812153945,2,0,0,0,0,2040
23072905,1439.59844247123,2,0,0,0,0,3684
20161586,1439.58243246066,16,0,0,0,0,1326
13640072,1439.50664876587,25,0,3,0,0,50299
8347022,1439.4823824724,6,0,0,0,0,64143
5341033,1439.46825256025,100,1,11,0,0,10909
23064728,1439.45370976476,20,0,0,0,0,29925
13682992,1439.28861085696,30,0,1,0,0,5067
24811052,1439.2473488195,11,0,0,0,0,2734
17338569,1439.22720736215,2,0,1,0,0,15044
27716020,1439.19459060319,9,0,0,0,0,277
6250024,1439.14291538739,20,2,9,0,0,19744
9125328,1439.13787357101,9,0,0,0,0,6867
11772019,1439.12393944734,49,3,5,0,0,16513
21902211,1439.07909122812,3,0,0,0,0,1159
13788492,1439.05919459725,7,0,0,0,0,31865
29060229,1439.00081735056,7,0,0,0,0,58497
11462777,1438.97297001241,8,0,0,0,0,62172
8764551,1438.92713461336,16,0,1,0,0,53335
26241924,1438.91100717441,25,3,0,0,0,45982
11851916,1438.90526397617,9,2,0,0,0,46419
18671228,1438.90147579767,2,0,1,0,0,51706
9048033,1438.89823512868,13,0,0,0,0,55742
12711916,1438.89549684311,41,4,4,0,0,634
11023139,1438.87821561585,68,3,9,0,0,15487
18273750,1438.8589505236,10,0,0,0,0,9103
16397069,1438.83550748677,6,1,0,0,0,54224
15513944,1438.83027121768,30,1,6,0,0,25421
16428321,1438.80034433093,3,0,0,0,0,32471
17001432,1438.76471140357,3,0,0,0,0,66388
7211935,1438.70980439933,72,3,7,0,0,45953
12163272,1438.6818588032,7,1,1,0,0,40484
11322604,1438.66189895692,5,0,0,0,0,8268
2235295,1438.65132886388,5,1,2,0,0,15847
13167772,1438.61964154061,8,0,0,0,0,48608
22940035,1438.58762617657,12,0,0,0,0,1025
11579477,1438.54165598934,6,0,2,0,0,8687
13520901,1438.5346207175,6,1,0,0,0,24375
16772248,1438.53323175088,10,0,0,0,0,31679
21424894,1438.47454208127,9,0,0,0,0,3557
22782807,1438.46914321252,35,6,8,0,0,25118
12382410,1438.443207765,5,0,0,0,0,29023
24190290,1438.43908486001,33,5,1,0,0,876
4793715,1438.42978136881,40,8,6,0,0,9287
17833302,1438.4140940689,3,0,0,0,0,65284
7736410,1438.39435170748,3,0,0,0,0,62359
17501619,1438.3257368268,2,0,0,0,0,48727
21195146,1438.32014044586,8,0,1,0,0,26380
11069969,1438.31411528188,6,0,0,0,0,56535
11948653,1438.2664288707,6,0,0,0,0,46167
25321232,1438.21329475913,3,0,0,0,0,5311
20034541,1438.20526404294,9,0,0,0,0,37050
27634214,1438.12554461529,2,0,0,0,0,35009
5176406,1438.07399746225,26,3,3,0,0,30754
21180640,1438.04707347348,6,0,0,0,0,68601
15100005,1438.00866567253,26,0,1,0,0,53515
5131849,1437.98741215358,20,0,0,0,0,63374
14380711,1437.98046967647,12,0,1,0,0,6879
3287169,1437.91306485514,14,0,0,0,0,55151
12057206,1437.855047721,10,0,0,0,0,2012
29074177,1437.79948011313,10,0,0,0,0,7718
10040597,1437.79818460834,41,0,0,0,0,34461
21753287,1437.7781047073,27,3,2,0,0,205
7121520,1437.74960198732,5,0,0,0,0,33978
26131645,1437.7208021711,31,0,0,0,0,3113
12836907,1437.69294746069,6,1,2,0,0,41856
3982856,1437.68309354261,18,0,0,0,0,343
6995880,1437.67067489417,152,10,10,0,0,210
11157009,1437.67065058448,40,2,2,0,0,60288
21049273,1437.64511192719,9,0,0,0,0,24767
16928887,1437.62607436167,5,0,0,0,0,30483
16897775,1437.61632617452,8,0,0,0,0,33864
18678603,1437.58269559111,9,0,0,0,0,24003
8426128,1437.54842562986,4,0,0,0,0,3402
11907239,1437.51974491735,5,0,1,0,0,41107
11948017,1437.51108964829,30,2,5,0,0,8436
15736278,1437.50795441446,5,0,0,0,0,64633
13144930,1437.45436556147,4,0,0,0,0,63707
14823731,1437.39184418516,22,0,0,0,0,27502
18983862,1437.32763774712,13,3,1,0,0,53437
3096297,1437.24292267011,16,4,2,0,0,69489
4154765,1437.21659685025,3,0,0,0,0,28228
18399859,1437.20642014897,20,1,1,0,0,15427
9165391,1437.20536545495,3,0,0,0,0,12167
22722599,1437.20154700054,13,0,0,0,0,2815
11905188,1437.14184255561,5,0,0,0,0,44307
3765285,1437.11319495347,3,0,0,0,0,10565
12014683,1437.1058844674,5,0,0,0,0,23880
16753295,1437.06059798792,7,0,0,0,0,23787
10615317,1437.05224091767,14,0,2,0,0,1502
19767176,1437.0284726914,7,0,0,0,0,22036
13827317,1437.01028735849,54,1,5,0,0,2623
13428511,1436.98801419669,8,1,0,0,0,26238
22803560,1436.9497134268,6,0,1,0,0,50157
21517375,1436.81750478694,4,1,1,0,0,5041
20868683,1436.74943927863,3,0,0,0,0,63715
20800529,1436.74196654815,2,0,0,0,0,56343
11198067,1436.7294893678,5,0,0,0,0,1157
11633163,1436.68435147672,14,0,3,0,0,46034
15702633,1436.66264091891,6,0,0,0,0,53954
12774999,1436.6550891192,19,2,1,0,0,60178
15088888,1436.5607539348,6,0,0,0,0,67725
12294699,1436.55588538747,37,8,11,0,0,13011
16396119,1436.54658764792,8,0,0,0,0,26221
21065695,1436.54297653002,46,10,10,0,0,2329
9960251,1436.53903827142,9,0,0,0,0,13068
12961781,1436.49297973905,22,0,0,0,0,54545
2536620,1436.48375082296,11,0,0,0,0,35077
502722,1436.47972501063,22,0,2,0,0,64
17142856,1436.38900356047,81,2,5,0,0,218
12061283,1436.34871461871,13,0,0,0,0,45879
4794808,1436.34659727836,3,0,0,0,0,65323
12681578,1436.33154263913,80,1,3,0,0,10066
24755680,1436.31029010739,7,0,0,0,0,39800
14451706,1436.2170577817,4,0,0,0,0,21520
10518108,1436.18586305742,4,0,0,0,0,32935
8438143,1436.16963795817,13,0,0,0,0,50213
18660752,1436.15949009209,4,0,0,0,0,63710
18318139,1436.13348095749,3,0,0,0,0,39810
17497039,1436.11133060404,7,1,2,0,0,47576
15741611,1436.04796927397,11,1,5,0,0,67252
11437857,1436.0452214941,23,0,0,0,0,32274
13590024,1436.04069184647,17,0,0,0,0,57877
15312830,1436.03777362084,25,0,3,0,0,186
2968970,1435.98896318216,25,0,0,0,0,55582
8240580,1435.95954848406,11,1,0,0,0,32302
27376118,1435.94014252861,29,3,1,0,0,11569
7024499,1435.8874604785,12,0,1,0,0,26238
5454621,1435.86230739605,55,0,1,0,0,5744
1976624,1435.82520313276,41,0,0,0,0,5217
24906927,1435.82234640518,2,0,0,0,0,25851
15518219,1435.78747985484,20,3,2,0,0,62981
17784425,1435.76652571139,10,0,0,0,0,29131
5356586,1435.75493257529,5,0,0,0,0,27706
13322048,1435.75135220429,13,0,2,0,0,53177
19453684,1435.69349226561,33,3,3,0,0,8852
8360581,1435.66689057777,5,0,0,0,0,52742
27889898,1435.65692691452,3,0,0,0,0,2493
29348964,1435.56188610768,2,0,1,0,0,31690
20459807,1435.41816280774,4,0,0,0,0,53445
16567824,1435.39504437905,4,0,0,0,0,49987
15000336,1435.31922093882,3,0,0,0,0,28228
25368713,1435.26372783383,4,0,0,0,0,2417
22530176,1435.25392839493,3,0,0,0,0,66052
12985377,1435.1961227495,8,0,0,0,0,15518
14679069,1435.18828834302,49,7,7,0,0,370
15198035,1435.16547035612,5,0,0,0,0,56233
15003620,1435.15789037313,9,0,0,0,0,12489
22876007,1435.14582560692,34,1,0,0,0,20120
14648196,1435.12106636216,7,0,0,0,0,23052
4009916,1435.07854500874,57,0,0,0,0,6477
20644852,1434.97913383797,134,16,11,0,0,218
13863006,1434.93886907041,22,2,0,0,0,442
16856628,1434.88323431891,11,0,2,0,0,46534
20354473,1434.82343692798,27,3,3,0,0,15113
14400891,1434.7908537575,6,1,1,0,0,45668
10367153,1434.7906117033,8,0,0,0,0,26255
14899675,1434.75377246542,27,1,3,0,0,24944
6024493,1434.72760479324,6,0,0,0,0,35492
14312231,1434.69877270156,14,0,0,0,0,1326
20311767,1434.68545231557,9,0,0,0,0,60724
27309956,1434.63292829837,45,6,9,0,0,363
15536847,1434.62162610129,7,0,0,0,0,56571
3393057,1434.61097524847,3,0,0,0,0,66791
13212815,1434.61066388834,19,0,0,0,0,24697
2868952,1434.60958113361,8,1,0,0,0,10792
17196487,1434.59925553755,10,0,0,0,0,40720
32059001,1434.55357043136,3,0,0,0,0,537
6410878,1434.54681093365,15,0,0,0,0,5636
22381741,1434.52396770297,14,1,0,0,0,18251
29381072,1434.49747426765,5,0,0,0,0,25841
11802634,1434.47764196239,7,0,0,0,0,27739
12102694,1434.45917397652,15,0,0,0,0,20080
13480282,1434.45896343465,7,0,0,0,0,53172
13357108,1434.42746131927,10,0,0,0,0,69356
16697022,1434.40866559432,12,0,0,0,0,12997
17716503,1434.40528496911,372,31,28,0,0,197
7083420,1434.37454719506,8,0,0,0,0,62660
4796773,1434.3463485072,14,1,0,0,0,2082
7196781,1434.33203211901,3,0,0,0,0,40925
20584384,1434.31197139339,12,0,0,0,0,1157
3870420,1434.30131673109,12,0,0,0,0,34671
12006477,1434.30030370586,5,0,0,0,0,9272
12561254,1434.29171819784,4,0,0,0,0,66784
14740794,1434.27782403117,4,0,0,0,0,6924
17430144,1434.27547432406,6,0,0,0,0,41260
17456553,1434.25562679063,10,0,0,0,0,41714
14491879,1434.22461383319,8,1,4,0,0,23490
16006269,1434.21612146603,19,1,2,0,0,56198
12571148,1434.19027920088,40,0,2,0,0,40009
23370133,1434.17868616464,19,1,6,0,0,51433
