"Player","Rating","Games","1st","2nd","3rd","4th","5th","6th","7th","8th","9th","10th","Lag"
8698024,2625.85777986825,684,111,73,0,0,0,0,0,0,0,0,10
9313951,2623.9409622903,832,181,148,0,0,0,0,0,0,0,0,1128
7892320,2623.30251657994,736,123,115,0,0,0,0,0,0,0,0,9511
4511522,2622.61044895469,120,15,22,0,0,0,0,0,0,0,0,9665
6387149,2621.34349962838,879,108,136,0,0,0,0,0,0,0,0,135
9265990,2620.48667100745,992,76,77,0,0,0,0,0,0,0,0,84
3543130,2617.31166698445,330,31,48,0,0,0,0,0,0,0,0,744
7959945,2617.22011635531,395,31,29,0,0,0,0,0,0,0,0,413
2323131,2617.11132492508,119,32,14,0,0,0,0,0,0,0,0,357
6942259,2616.92621713001,619,85,62,0,0,0,0,0,0,0,0,127
5403374,2616.3573106109,279,31,22,0,0,0,0,0,0,0,0,111
11226645,2616.0618379962,490,104,35,0,0,0,0,0,0,0,0,521
6404027,2614.17521629644,463,64,63,0,0,0,0,0,0,0,0,357
6619303,2611.46812138266,200,13,8,0,0,0,0,0,0,0,0,84903
13767572,2606.9297975409,223,36,28,0,0,0,0,0,0,0,0,339
9508109,2601.72491213116,178,14,13,0,0,0,0,0,0,0,0,332
284905,2600.58174852658,136,18,13,0,0,0,0,0,0,0,0,1318
22461441,2599.61449772372,1257,346,218,0,0,0,0,0,0,0,0,2308
11479551,2593.65010710714,483,85,66,0,0,0,0,0,0,0,0,16854
14035920,2593.53358881817,430,55,38,0,0,0,0,0,0,0,0,664
13705417,2592.92650918904,559,52,54,0,0,0,0,0,0,0,0,418
16509171,2590.31032214752,483,142,63,0,0,0,0,0,0,0,0,6331
14385814,2590.14495148888,799,120,98,0,0,0,0,0,0,0,0,3469
4540667,2590.11626384352,186,51,25,0,0,0,0,0,0,0,0,316
15293080,2585.15106493062,470,85,53,0,0,0,0,0,0,0,0,6579
11380904,2582.79643829364,441,62,52,0,0,0,0,0,0,0,0,19
9459674,2579.22603428709,1627,183,140,0,0,0,0,0,0,0,0,129
4980135,2578.61478198401,898,119,106,0,0,0,0,0,0,0,0,152
7630971,2578.57100392982,123,17,10,0,0,0,0,0,0,0,0,54754
3765989,2577.81182464266,157,28,27,0,0,0,0,0,0,0,0,60
3730848,2577.60513264496,775,81,78,0,0,0,0,0,0,0,0,12669
14806365,2575.95914113879,1087,145,110,0,0,0,0,0,0,0,0,290
20501126,2574.33078171421,1179,147,129,0,0,0,0,0,0,0,0,67
5413624,2572.74789803162,1208,143,114,0,0,0,0,0,0,0,0,183
10463129,2571.97643426129,2418,430,310,0,0,0,0,0,0,0,0,342
6090175,2570.01997574229,729,62,56,0,0,0,0,0,0,0,0,267
9505131,2569.77485072628,286,61,47,0,0,0,0,0,0,0,0,5835
4253615,2567.07658617166,564,58,48,0,0,0,0,0,0,0,0,108
4682646,2564.57904308441,254,14,14,0,0,0,0,0,0,0,0,183
10829419,2564.56030983097,526,41,50,0,0,0,0,0,0,0,0,451
14215850,2564.08691001857,263,33,18,0,0,0,0,0,0,0,0,2685
2590257,2563.78822056807,366,34,35,0,0,0,0,0,0,0,0,10356
16288992,2562.357053804,1668,283,230,0,0,0,0,0,0,0,0,332
6989615,2561.91378456038,509,92,75,0,0,0,0,0,0,0,0,38241
12941954,2560.83743749838,1018,157,124,0,0,0,0,0,0,0,0,332
11269055,2560.43022039147,1045,63,93,0,0,0,0,0,0,0,0,7016
11921197,2559.51740932782,524,61,36,0,0,0,0,0,0,0,0,162
4585186,2557.13391747254,346,29,39,0,0,0,0,0,0,0,0,2354
2472609,2557.08046223086,418,48,32,0,0,0,0,0,0,0,0,805
14592820,2555.22106831778,1359,228,164,0,0,0,0,0,0,0,0,19
11806306,2554.28860321846,176,20,19,0,0,0,0,0,0,0,0,16823
8195473,2553.32736379277,385,72,51,0,0,0,0,0,0,0,0,10372
4470775,2550.13259558302,379,59,28,0,0,0,0,0,0,0,0,551
5407620,2549.20421901304,548,50,49,0,0,0,0,0,0,0,0,249
2932510,2549.13097888689,125,50,22,0,0,0,0,0,0,0,0,1318
4653583,2548.90858989602,703,123,72,0,0,0,0,0,0,0,0,191
7003293,2548.32843987445,133,45,21,0,0,0,0,0,0,0,0,129120
13108233,2548.06699990435,251,32,26,0,0,0,0,0,0,0,0,744
12790479,2545.97615217529,128,31,16,0,0,0,0,0,0,0,0,18951
11940767,2545.84368971165,777,161,76,0,0,0,0,0,0,0,0,19
7780605,2545.23349719291,707,107,74,0,0,0,0,0,0,0,0,60
4733185,2544.83825467553,388,22,27,0,0,0,0,0,0,0,0,4212
14169321,2544.06095708519,733,79,63,0,0,0,0,0,0,0,0,129
11367222,2543.49600096613,205,33,19,0,0,0,0,0,0,0,0,13438
2312106,2542.55153705843,995,72,91,0,0,0,0,0,0,0,0,84
14919428,2541.76362604597,961,56,84,0,0,0,0,0,0,0,0,84
4256461,2539.78997508667,174,6,14,0,0,0,0,0,0,0,0,6030
251683,2538.75723795109,396,34,36,0,0,0,0,0,0,0,0,185
12434652,2538.35260485913,508,66,66,0,0,0,0,0,0,0,0,4422
6093148,2536.94598060212,852,83,83,0,0,0,0,0,0,0,0,88
11553627,2536.20279486608,126,12,9,0,0,0,0,0,0,0,0,74867
2758279,2535.78815690773,683,54,49,0,0,0,0,0,0,0,0,456
6667041,2534.05945199474,207,22,23,0,0,0,0,0,0,0,0,9752
3062998,2532.52445443854,166,12,18,0,0,0,0,0,0,0,0,65035
4852013,2531.35179954876,111,14,11,0,0,0,0,0,0,0,0,23630
11305398,2528.7497187401,520,127,71,0,0,0,0,0,0,0,0,9676
5177569,2526.29850490517,482,46,39,0,0,0,0,0,0,0,0,332
2848604,2522.96957803479,653,74,49,0,0,0,0,0,0,0,0,456
10051720,2521.57909317527,649,44,47,0,0,0,0,0,0,0,0,422
6404488,2520.97812228652,198,35,31,0,0,0,0,0,0,0,0,488
14447878,2520.40044543539,1920,246,236,0,0,0,0,0,0,0,0,160
4663676,2520.12551265455,240,31,25,0,0,0,0,0,0,0,0,873
5472693,2519.51753261815,1708,252,178,0,0,0,0,0,0,0,0,74
10434787,2509.47332765924,654,108,74,0,0,0,0,0,0,0,0,185
11129034,2506.58421295907,1845,313,291,0,0,0,0,0,0,0,0,1978
6744123,2505.80787002093,731,71,62,0,0,0,0,0,0,0,0,1462
8208289,2503.49678298903,504,50,53,0,0,0,0,0,0,0,0,6035
1355695,2499.86327068187,431,23,24,0,0,0,0,0,0,0,0,267
10717635,2498.17771039844,651,53,59,0,0,0,0,0,0,0,0,7783
21619075,2498.14886408543,102,20,15,0,0,0,0,0,0,0,0,7049
11308471,2497.44612373704,635,101,77,0,0,0,0,0,0,0,0,305
10077431,2490.75096743567,157,15,25,0,0,0,0,0,0,0,0,29558
6502403,2490.73673040577,134,36,23,0,0,0,0,0,0,0,0,4102
2917990,2487.85951115724,610,125,68,0,0,0,0,0,0,0,0,267
12714574,2486.26399870136,330,85,56,0,0,0,0,0,0,0,0,1371
11562243,2485.43573351497,168,31,30,0,0,0,0,0,0,0,0,419
139670,2485.32104501028,751,130,101,0,0,0,0,0,0,0,0,15569
8666950,2484.31528388289,996,81,86,0,0,0,0,0,0,0,0,332
12159899,2483.43671459236,179,12,22,0,0,0,0,0,0,0,0,13444
10343292,2483.39433688861,896,162,122,0,0,0,0,0,0,0,0,418
11198996,2481.47198233183,282,43,44,0,0,0,0,0,0,0,0,3179
17272840,2481.45543884402,535,71,52,0,0,0,0,0,0,0,0,547
11255340,2480.79208962903,2242,422,288,0,0,0,0,0,0,0,0,27
12258658,2480.30809138107,240,31,36,0,0,0,0,0,0,0,0,73
7512553,2480.21344747334,116,54,22,0,0,0,0,0,0,0,0,119720
4659319,2480.1623037827,497,44,36,0,0,0,0,0,0,0,0,135
6600930,2479.92090207447,176,8,8,0,0,0,0,0,0,0,0,19351
14970132,2479.41349020447,203,49,17,0,0,0,0,0,0,0,0,6685
11234706,2479.2748139271,1420,157,151,0,0,0,0,0,0,0,0,74
21338717,2478.71997198395,502,160,81,0,0,0,0,0,0,0,0,160
7972980,2478.21389841001,361,22,27,0,0,0,0,0,0,0,0,9861
11042418,2478.18743689589,259,32,21,0,0,0,0,0,0,0,0,7215
14503423,2476.91456896654,144,18,14,0,0,0,0,0,0,0,0,268
7078544,2474.40886974191,606,75,51,0,0,0,0,0,0,0,0,759
12378737,2473.62324747521,271,30,21,0,0,0,0,0,0,0,0,41408
7010761,2473.30158853954,267,45,39,0,0,0,0,0,0,0,0,16618
12211248,2473.06281807857,1227,206,157,0,0,0,0,0,0,0,0,70
4981809,2472.31041728856,535,58,66,0,0,0,0,0,0,0,0,744
3171691,2471.51276419581,181,42,31,0,0,0,0,0,0,0,0,165
14362480,2470.49843819994,195,62,30,0,0,0,0,0,0,0,0,131460
9993348,2468.39574785827,700,52,63,0,0,0,0,0,0,0,0,477
7081596,2468.3484789449,433,69,53,0,0,0,0,0,0,0,0,4422
8799923,2468.10899623951,764,69,99,0,0,0,0,0,0,0,0,1038
5370153,2467.29426086345,188,14,18,0,0,0,0,0,0,0,0,77956
16139008,2466.65627939847,328,22,29,0,0,0,0,0,0,0,0,190
9138046,2465.52100926119,128,2,7,0,0,0,0,0,0,0,0,747
8275006,2465.21048115505,392,71,53,0,0,0,0,0,0,0,0,3715
24270105,2464.10174453822,1476,194,167,0,1,0,0,0,0,0,0,12
8788058,2463.43157126595,739,67,82,0,0,0,0,0,0,0,0,472
3328742,2462.44326927522,189,15,10,0,0,0,0,0,0,0,0,9834
4740837,2461.18897324372,171,25,28,0,0,0,0,0,0,0,0,560
114017,2460.15181288377,2004,230,206,0,0,0,0,0,0,0,0,332
17476576,2458.71676669848,343,75,38,0,0,0,0,0,0,0,0,38984
10909049,2457.86590214517,465,27,35,0,0,0,0,0,0,0,0,770
3792472,2456.92772743427,197,17,17,0,0,0,0,0,0,0,0,162
9818947,2456.84549848347,128,14,22,0,0,0,0,0,0,0,0,16483
11207004,2456.71618267896,322,41,34,0,0,0,0,0,0,0,0,1674
11987104,2456.68748805771,444,83,67,0,0,0,0,0,0,0,0,19939
9082441,2455.39382718557,1337,199,188,0,0,0,0,0,0,0,0,88
8581210,2454.71039685546,854,192,83,0,0,0,0,0,0,0,0,2025
5309981,2454.13480033873,1542,305,254,0,0,0,0,0,0,0,0,687
14040810,2452.61988854641,518,65,52,0,0,0,0,0,0,0,0,257
4519494,2450.62194850175,813,43,58,0,0,0,0,0,0,0,0,249
10323184,2450.10927806563,216,23,15,0,0,0,0,0,0,0,0,190
14282987,2449.64706970071,1124,119,106,0,0,0,0,0,0,0,0,60
11959709,2447.05507674401,1174,202,155,0,0,0,0,0,0,0,0,129
18946207,2446.88886079748,913,107,96,0,0,0,0,0,0,0,0,24
3345902,2446.86391844759,107,6,13,0,0,0,0,0,0,0,0,65033
4750008,2445.81299879436,178,17,17,0,0,0,0,0,0,0,0,16245
8802914,2445.64004893135,588,43,41,0,0,0,0,0,0,0,0,110
12976255,2444.05285151671,168,44,29,0,0,0,0,0,0,0,0,111
10592853,2443.48935624824,645,52,75,0,0,0,0,0,0,0,0,1570
7537133,2442.28940453959,747,66,79,0,0,0,0,0,0,0,0,249
12147277,2441.57380140644,979,150,147,0,0,0,0,0,0,0,0,4176
7172340,2441.41771493775,232,55,33,0,0,0,0,0,0,0,0,249
4780986,2438.91266143671,224,22,23,0,0,0,0,0,0,0,0,3810
7748891,2438.72859041646,405,29,24,0,0,0,0,0,0,0,0,10
11345747,2438.20194720902,604,106,85,0,0,0,0,0,0,0,0,39129
11106929,2436.48497480751,301,28,41,0,0,0,0,0,0,0,0,60609
9513980,2436.11262400262,375,31,47,0,0,0,0,0,0,0,0,94
12904237,2434.72393443664,1516,160,94,0,0,0,0,0,0,0,0,84
13206785,2434.62582953081,547,64,51,0,0,0,0,0,0,0,0,933
10640486,2434.53141032373,192,19,16,0,0,0,0,0,0,0,0,357
13959253,2434.27256342032,106,5,14,0,0,0,0,0,0,0,0,466
16329318,2429.34203970584,267,62,41,0,0,0,0,0,0,0,0,357
7178423,2426.22579231743,122,18,15,0,0,0,0,0,0,0,0,23513
7810180,2424.40650724015,536,60,53,0,0,0,0,0,0,0,0,300
11715109,2421.56445574973,632,52,42,0,0,0,0,0,0,0,0,469
6145000,2421.31212178621,381,21,32,0,0,0,0,0,0,0,0,546
1428455,2421.19701703457,151,58,30,0,0,0,0,0,0,0,0,23853
13214651,2421.17017576783,711,46,42,0,0,0,0,0,0,0,0,472
9474976,2418.96621625148,333,32,42,0,0,0,0,0,0,0,0,110
3674590,2417.21313268523,817,106,88,0,0,0,0,0,0,0,0,10070
13586618,2416.18761042316,248,5,7,0,0,0,0,0,0,0,0,472
14442548,2416.03983281088,1861,317,237,0,0,0,0,0,0,0,0,27
12036243,2415.06107776759,363,26,30,0,0,0,0,0,0,0,0,4701
11469447,2412.82675840233,246,29,26,0,0,0,0,0,0,0,0,8792
11786864,2410.96866115814,2133,334,267,0,0,0,0,0,0,0,0,19
10728620,2409.33504843091,1229,185,148,0,0,0,0,0,0,0,0,642
12585048,2409.06428000606,195,12,15,0,0,0,0,0,0,0,0,267
20988374,2406.24567423969,407,54,44,0,0,0,0,0,0,0,0,84
11405263,2406.06996391058,592,83,56,0,0,0,0,0,0,0,0,2904
20461077,2406.03484189207,494,64,57,0,0,0,0,0,0,0,0,1196
12169267,2405.96278631546,218,42,32,0,0,0,0,0,0,0,0,5678
9767342,2405.90039901582,477,121,82,0,0,0,0,0,0,0,0,49
9561644,2405.76598549278,146,21,12,0,0,0,0,0,0,0,0,16550
16750823,2405.62645174801,275,92,48,0,0,0,0,0,0,0,0,8808
12609022,2405.30553363672,687,34,45,0,0,0,0,0,0,0,0,546
14800198,2401.54002460647,398,29,26,0,0,0,0,0,0,0,0,862
10507706,2400.45274725615,240,31,26,0,0,0,0,0,0,0,0,90
6585939,2399.93342439237,807,78,76,0,0,0,0,0,0,0,0,206
15392570,2399.73699823607,902,166,106,0,0,0,0,0,0,0,0,9852
4301976,2399.23132471823,538,49,34,0,0,0,0,0,0,0,0,295
9211924,2399.05701889458,518,44,35,0,0,0,0,0,0,0,0,190
15441612,2397.69838983204,5870,1359,1093,0,0,0,0,0,0,0,0,9
10572078,2395.41076507639,118,17,14,0,0,0,0,0,0,0,0,6727
3163649,2395.29034986786,100,23,13,0,0,0,0,0,0,0,0,4187
14097024,2394.64662745386,251,27,19,0,0,0,0,0,0,0,0,22044
5774823,2392.80648724168,92,19,15,0,0,0,0,0,0,0,0,41539
7060756,2392.61308809076,844,178,137,0,0,0,0,0,0,0,0,332
9501251,2390.90598599136,582,62,45,0,0,0,0,0,0,0,0,1247
11415687,2390.82467918702,110,14,4,0,0,0,0,0,0,0,0,12321
16436446,2389.3552866641,803,142,84,0,0,0,0,0,0,0,0,1117
9920144,2389.14869648189,122,33,22,0,0,0,0,0,0,0,0,39492
21653406,2387.21979787969,720,64,47,0,0,0,0,0,0,0,0,74
3493804,2386.15541941297,1241,127,125,0,0,0,0,0,0,0,0,94
17847877,2384.89931940674,1720,394,289,0,0,0,0,0,0,0,0,249
14758501,2383.60044033674,1317,171,129,0,0,0,0,0,0,0,0,10
10250612,2383.02660334945,204,52,27,0,0,0,0,0,0,0,0,755
16227745,2382.98167145865,898,116,104,0,0,0,0,0,0,0,0,183
16774872,2382.65497401056,466,73,64,0,0,0,0,0,0,0,0,9
