"Player","Rating","Games","1st","2nd","3rd","4th","5th","6th","7th","8th","9th","10th","11th","12th","13th","14th","15th","16th","Lag"
11255340,2334.11326434878,730,158,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23
6036351,2334.10504585856,133,14,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,811
16509171,2330.37395348363,196,53,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
12585048,2328.58521681026,108,11,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5004
11375251,2327.71917503291,208,21,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,813
5413624,2327.33986980016,487,68,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1258
11215030,2324.85379695045,207,42,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3438
16561695,2324.70339565426,211,14,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68
5177569,2321.92602600954,173,15,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1726
14800198,2321.08548234058,152,12,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30
4346274,2318.06758874135,63,15,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9442
8581210,2317.26880612211,266,93,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,926
7081596,2316.65065706941,112,27,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,137
10651106,2315.25856391024,290,36,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102
8364754,2314.10256809982,65,35,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41778
4637369,2313.72397415793,140,41,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,152
12941954,2309.0878743231,208,49,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,152
10659233,2308.13315526854,239,37,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69
4585186,2306.72590206759,160,19,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9442
7802400,2304.70994545762,182,26,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53
19998548,2301.55785218507,202,43,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1036
7959945,2301.23300125571,87,9,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9432
4659319,2301.01276176756,131,16,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1847
3730848,2300.07412682487,203,25,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,220
5033077,2299.7781787605,65,24,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,145
10434787,2297.58899946602,233,59,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,479
10917620,2293.10608422296,304,38,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,817
8472976,2292.90953132497,54,18,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1802
14385814,2291.97506356156,372,43,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,282
5791401,2289.94437308506,524,52,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1915
10728620,2287.13878182779,260,29,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81
13065919,2286.34581722582,302,93,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28
7060756,2281.72486400109,356,69,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129
4382220,2280.81520207779,286,90,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6743
10760701,2280.04854782397,84,30,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6687
284905,2278.50961646943,55,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,817
4519494,2278.14414240708,324,22,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129
3717598,2277.70841760409,97,23,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3703
2758279,2277.5980397761,106,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3731
2142966,2277.56955847953,55,11,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1859
12483293,2275.88463729869,257,44,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1218
1460263,2275.84900435648,1074,239,207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102
11269055,2275.52676713526,332,19,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,821
1355695,2274.800698297,225,9,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129
13962152,2271.68608266503,62,19,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,221
10829419,2270.60732935324,235,19,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1813
10463129,2270.41767353118,640,117,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81
9362168,2267.98576675373,463,70,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,607
10051720,2267.28187615211,152,5,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1144
20630250,2265.52860077335,1086,152,123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68
4504101,2264.51626038971,56,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12554
10073635,2264.02244399004,57,19,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3091
10325072,2263.6137358543,334,42,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68
9501251,2262.16501055323,293,30,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,282
12796317,2261.81931982112,96,29,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6497
14309415,2260.91249084667,191,16,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68
4981809,2260.20220632074,105,19,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126
7009485,2257.99152718471,132,37,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38
6303313,2257.35855335771,87,43,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7434
12260184,2255.65981118027,259,12,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,282
5442251,2254.16343332368,92,28,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28186
6585939,2252.72239875769,117,23,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,824
13709281,2251.18729160526,121,27,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,430
11684622,2251.07293710599,155,18,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6856
