"Player","Rating","Games","1st","2nd","3rd","4th","5th","6th","Lag"
4491713,1334.05807241237,15,0,0,0,0,0,0,110784
16441185,1334.03874259608,38,4,6,0,0,0,0,4501
3059625,1334.02074710444,16,0,2,0,0,0,0,39478
10828380,1333.92355441204,42,8,7,0,0,0,0,66763
2070615,1333.91797242972,10,0,0,0,0,0,0,120741
16022736,1333.89460352944,29,2,7,0,0,0,0,48071
16865059,1333.87611853795,12,0,0,0,0,0,0,45899
16060432,1333.86011556769,37,0,0,0,0,0,0,84909
14583504,1333.83175108391,12,0,1,0,0,0,0,78530
12888794,1333.81164484955,24,0,2,0,0,0,0,7213
29478749,1333.80800397558,10,0,0,0,0,0,0,105042
4714696,1333.76001385492,8,0,0,0,0,0,0,128155
8768491,1333.74800244584,9,0,0,0,0,0,0,105376
18903537,1333.73409040592,11,0,0,0,0,0,0,99421
20348382,1333.73059819019,13,0,0,0,0,0,0,30817
14173078,1333.72739676212,7,0,2,0,0,0,0,113210
808976,1333.69605866839,16,0,0,0,0,0,0,42939
14602193,1333.68831589592,16,1,4,0,0,0,0,50592
11067439,1333.66239492252,21,4,1,0,0,0,0,55953
17860991,1333.6434042749,7,0,0,0,0,0,0,60976
4461432,1333.63986320581,13,0,0,0,0,0,0,88431
19824418,1333.60474908249,54,7,5,0,0,0,0,10077
10319851,1333.59703626944,75,2,5,0,0,0,0,1448
9735525,1333.59544269742,14,2,6,0,0,0,0,73464
12353422,1333.59059428997,23,0,1,0,0,0,0,98577
23045972,1333.5497240475,8,0,0,0,0,0,0,128131
16119852,1333.53015315946,20,1,3,0,0,0,0,112296
14396055,1333.47973520499,10,0,0,0,0,0,0,26578
19862784,1333.46769756976,11,0,0,0,0,0,0,40234
15194234,1333.41512652057,24,0,0,0,0,0,0,87326
11332703,1333.34015714026,310,19,24,0,0,0,0,57
21039622,1333.32455856141,9,0,0,0,0,0,0,33566
10643580,1333.31447900913,12,0,0,0,0,0,0,137206
11147909,1333.29774815744,296,41,43,0,0,0,0,632
13197403,1333.18471048538,140,7,5,0,0,0,0,68021
26277011,1333.17830457289,9,0,0,0,0,0,0,118792
17661334,1333.1489909997,10,0,0,0,0,0,0,100404
14620880,1333.10848312236,15,0,0,0,0,0,0,43322
29291224,1333.10714456308,9,1,1,0,0,0,0,85424
3170543,1333.03770540038,28,4,3,0,0,0,0,37565
11730796,1333.0194217086,54,1,8,0,0,0,0,12359
11796581,1332.95435574342,78,3,1,0,0,0,0,62103
12869672,1332.85202816409,55,2,1,0,0,0,0,36985
11808725,1332.84751783982,11,0,1,0,0,0,0,2831
11525785,1332.82675267655,44,0,0,0,0,0,0,14633
20755155,1332.78395968332,21,0,0,0,0,0,0,44278
30678014,1332.77999383623,18,2,3,0,0,0,0,132663
12988907,1332.75634974824,28,0,0,0,0,0,0,45807
16117538,1332.71720871843,35,1,1,0,0,0,0,1127
22684871,1332.64021588555,162,21,14,0,0,0,0,69773
14358780,1332.63095317725,27,0,1,0,0,0,0,57010
33637952,1332.61539774256,11,2,4,0,0,0,0,8357
16117959,1332.49465051906,18,0,0,0,0,0,0,3265
12572097,1332.48753888406,15,0,0,0,0,0,0,30818
14387476,1332.44059155722,19,2,3,0,0,0,0,4905
11639738,1332.36854673885,459,42,42,0,0,0,0,383
11932068,1332.30153038448,117,4,9,0,0,0,0,2622
20161368,1332.24451095485,11,0,0,0,0,0,0,12537
371772,1332.19746335939,9,0,0,0,0,0,0,76887
14009904,1332.14309464022,10,0,0,0,0,0,0,80699
