"Player","Rating","Games","1st","2nd","3rd","4th","5th","6th","7th","8th","Lag"
1629553,2398.46516594131,66,16,13,0,0,0,0,0,0,1150
11684622,2397.81693999877,198,22,16,0,0,0,0,0,0,308
14806365,2396.41067654029,541,68,52,0,0,0,0,0,0,32
3995630,2395.64319548413,87,36,16,0,0,0,0,0,0,2324
12760743,2395.07286025829,167,35,30,0,0,0,0,0,0,16079
11367222,2389.53491337919,103,19,9,0,0,0,0,0,0,8359
7010761,2388.25213589341,179,26,24,0,0,0,0,0,0,29082
16288992,2387.11466622581,688,123,112,0,0,0,0,0,0,112
3257847,2385.75084927097,1273,283,191,0,0,0,0,0,0,68
9211924,2381.95308940359,228,23,10,0,0,0,0,0,0,2324
11715109,2381.54356185107,284,24,18,0,0,0,0,0,0,2
11684952,2380.84020076625,222,39,22,0,0,0,0,0,0,98
9513980,2380.57067665203,121,11,25,0,0,0,0,0,0,133
8698024,2378.88217122369,304,44,33,0,0,0,0,0,0,218
13206785,2378.39866097231,138,13,13,0,0,0,0,0,0,9
9265990,2378.2199486106,444,33,38,0,0,0,0,0,0,28
5413624,2373.47302634214,588,80,58,0,0,0,0,0,0,32
7959945,2372.42722858964,105,10,7,0,0,0,0,0,0,1128
7630971,2371.59654178236,89,11,8,0,0,0,0,0,0,16153
11380904,2370.9871274166,234,39,33,0,0,0,0,0,0,4390
12736534,2370.68534129739,102,33,17,0,0,0,0,0,0,31603
10728620,2369.86176833267,488,75,74,0,0,0,0,0,0,23
3730848,2369.66648683235,339,30,35,0,0,0,0,0,0,167
14097024,2367.40891595908,151,17,16,0,0,0,0,0,0,520
13065919,2367.34475707967,711,211,113,0,0,0,0,0,0,231
7081596,2360.26959627184,175,44,29,0,0,0,0,0,0,7349
12585048,2359.72661386965,134,12,14,0,0,0,0,0,0,9981
11921197,2358.58465309439,181,26,13,0,0,0,0,0,0,7373
10592853,2357.54524612308,276,28,40,0,0,0,0,0,0,5074
4659319,2352.88379176941,139,17,19,0,0,0,0,0,0,4745
5791401,2352.84556623999,648,68,69,0,0,0,0,0,0,344
6479616,2351.88759482113,133,22,24,0,0,0,0,0,0,1177
11042418,2350.78966632181,121,24,15,0,0,0,0,0,0,32
4585186,2349.34675955611,182,23,32,0,0,0,0,0,0,4062
4301976,2349.19841968475,243,25,15,0,0,0,0,0,0,450
4581069,2349.02284873733,62,15,3,0,0,0,0,0,0,1585
4637369,2348.24770214807,193,51,37,0,0,0,0,0,0,5772
8275006,2347.91616166292,146,27,20,0,0,0,0,0,0,2324
8359561,2345.61183185036,866,158,167,0,0,0,0,0,0,111
11388931,2344.32627577911,91,39,15,0,0,0,0,0,0,6660
11106929,2344.21425048811,207,24,35,0,0,0,0,0,0,1513
11940767,2341.88629118049,294,52,34,0,0,0,0,0,0,283
4519494,2341.79585802532,427,27,37,0,0,0,0,0,0,1747
10051720,2340.66503143286,319,20,28,0,0,0,0,0,0,355
10434787,2340.25140403417,342,68,36,0,0,0,0,0,0,485
4346274,2338.44220873176,86,15,15,0,0,0,0,0,0,685
14592820,2338.21115907601,450,93,61,0,0,0,0,0,0,1608
15293080,2337.90429204734,153,41,23,0,0,0,0,0,0,2324
1775182,2337.06849144246,256,56,42,0,0,0,0,0,0,187
13218204,2336.94922838569,263,33,22,0,0,0,0,0,0,256
12258658,2336.58933420108,93,13,14,0,0,0,0,0,0,250
1355695,2336.56126842525,269,12,16,0,0,0,0,0,0,10021
9767342,2335.98940306072,210,51,38,0,0,0,0,0,0,864
14309415,2335.63410070965,288,30,22,0,0,0,0,0,0,7182
6093148,2334.17109557594,170,23,18,0,0,0,0,0,0,190
7657831,2333.0133620046,162,46,37,0,0,0,0,0,0,4505
12701607,2332.29904982748,223,23,19,0,0,0,0,0,0,1330
251683,2332.0017855614,179,11,15,0,0,0,0,0,0,136
11234706,2331.06836869066,756,91,88,0,0,0,0,0,0,28
4504101,2329.26080993506,68,8,8,0,0,0,0,0,0,2324
7060756,2326.89091291888,454,91,78,0,0,0,0,0,0,5496
3674590,2325.48602575085,451,85,56,0,0,0,0,0,0,450
16436446,2322.8375908254,366,67,44,0,0,0,0,0,0,4071
6600930,2320.31882064296,82,5,5,0,0,0,0,0,0,32
4981809,2319.50580277135,233,34,30,0,0,0,0,0,0,22
8802914,2316.09530339022,167,6,6,0,0,0,0,0,0,506
7701428,2314.15552338329,443,54,34,0,0,0,0,0,0,83
8364754,2314.10256809982,65,35,12,0,0,0,0,0,0,69264
10778261,2312.79671087534,51,17,12,0,0,0,0,0,0,1292
5936405,2312.52391908001,179,41,24,0,0,0,0,0,0,532
10325072,2312.13240722941,611,72,60,0,0,0,0,0,0,28
11794209,2311.06304367026,212,24,19,0,0,0,0,0,0,503
6619303,2309.01097789455,124,9,5,0,0,0,0,0,0,2324
5472693,2307.5251449176,676,117,67,0,0,0,0,0,0,112
6744123,2307.08664350036,198,27,20,0,0,0,0,0,0,853
11399348,2306.85104582056,72,30,16,0,0,0,0,0,0,11262
139670,2305.65685421234,432,59,63,0,0,0,0,0,0,32
2694475,2304.97855670995,188,26,35,0,0,0,0,0,0,7114
14800198,2304.22495050818,245,22,17,0,0,0,0,0,0,562
8581210,2303.97567752675,467,105,52,0,0,0,0,0,0,4
4830687,2297.14122054218,490,40,44,0,0,0,0,0,0,2
20988374,2296.33441293836,192,26,23,0,0,0,0,0,0,24
8472976,2295.79460390282,57,18,19,0,0,0,0,0,0,576
11305398,2293.68108624678,146,37,8,0,0,0,0,0,0,7002
4399129,2293.11650030671,361,79,66,0,0,0,0,0,0,2
1818573,2292.42473688129,289,60,25,0,0,0,0,0,0,2324
2758279,2291.69260572462,207,31,23,0,0,0,0,0,0,3912
7780605,2291.01625248278,260,35,23,0,0,0,0,0,0,4505
14758501,2290.70441635227,951,147,103,0,0,0,0,0,0,525
5245584,2290.39625478947,140,31,24,0,0,0,0,0,0,33
9728880,2289.91617436817,326,30,30,0,0,0,0,0,0,793
9683186,2288.80850491948,272,17,21,0,0,0,0,0,0,488
3139364,2286.98878189268,125,13,12,0,0,0,0,0,0,4066
2917990,2285.7626391459,312,43,25,0,0,0,0,0,0,621
14447878,2285.56133190743,929,138,132,0,0,0,0,0,0,32
6667041,2284.74508437619,96,9,12,0,0,0,0,0,0,20885
20461077,2284.37968000673,174,27,25,0,0,0,0,0,0,1518
15392570,2283.98875927485,435,63,43,0,0,0,0,0,0,525
17911347,2281.51099716837,424,174,75,0,0,0,0,0,0,500
4018079,2280.87833977005,114,6,17,0,0,0,0,0,0,909
12260184,2279.73946493892,306,16,21,0,0,0,0,0,0,859
11070577,2278.21249097909,161,32,14,0,0,0,0,0,0,2389
12434652,2276.65907376714,150,9,17,0,0,0,0,0,0,1023
2848604,2276.49476107907,241,39,16,0,0,0,0,0,0,901
1218895,2276.34811361037,237,30,26,0,0,0,0,0,0,675
11207004,2275.92647892332,190,25,22,0,0,0,0,0,0,4197
1860489,2275.78793705499,126,23,19,0,0,0,0,0,0,2324
10659233,2275.68087963623,423,52,44,0,0,0,0,0,0,231
10463129,2275.50654068116,1059,177,147,0,0,0,0,0,0,201
6754508,2273.40533969426,159,34,18,0,0,0,0,0,0,308
9501251,2271.65763079863,412,46,35,0,0,0,0,0,0,271
2142966,2271.1326555664,62,11,3,0,0,0,0,0,0,13579
9323821,2270.64318316085,742,143,121,0,0,0,0,0,0,32
10829419,2270.60732935324,235,19,21,0,0,0,0,0,0,29299
14919428,2270.57217551804,102,5,10,0,0,0,0,0,0,28
3898396,2269.93972571438,211,18,16,0,0,0,0,0,0,4763
6567297,2267.8799608632,69,12,18,0,0,0,0,0,0,7442
4458239,2266.09088175875,349,13,28,0,0,0,0,0,0,65
14398471,2265.99752535034,469,73,56,0,0,0,0,0,0,899
9820792,2263.78136649115,157,21,17,0,0,0,0,0,0,16014
9975427,2263.67984801989,139,17,16,0,0,0,0,0,0,13459
12796317,2263.19067046212,132,34,20,0,0,0,0,0,0,901
12483293,2261.16350965302,309,51,37,0,0,0,0,0,0,1366
4733185,2260.22297150381,154,5,13,0,0,0,0,0,0,26907
15441612,2260.16579898837,2491,583,509,0,0,0,0,0,0,397
11186709,2259.50400041221,159,31,17,0,0,0,0,0,0,33
7178423,2259.21807347652,88,16,13,0,0,0,0,0,0,26907
9505131,2256.83466462859,100,15,12,0,0,0,0,0,0,6240
12309147,2256.42624792262,238,23,37,0,0,0,0,0,0,864
12941954,2256.1632307485,281,60,52,0,0,0,0,0,0,10916
